A,B,DISTANCE,CAPACITY,NUM_LANES,FTYPE,FFSPEED,ALPHA,BETA,TOLL_SEGNUM,TOLL_POLICY,TOLL_TYPE,TOLL,TOLLSEG_LEN,DIR1,DIR2,DIR3,DIR4,AM_TIME,MD_TIME,PM_TIME,EV_TIME,EA_TIME,AM_VC,MD_VC,PM_VC,EV_VC,EA_VC,AM_TOLL,MD_TOLL,PM_TOLL,EV_TOLL,EA_TOLL,AM_SOV,MD_SOV,PM_SOV,EV_SOV,EA_SOV,AM_HV2,MD_HV2,PM_HV2,EV_HV2,EA_HV2,AM_HV3,MD_HV3,PM_HV3,EV_HV3,EA_HV3,AM_TRK,MD_TRK,PM_TRK,EV_TRK,EA_TRK,TRK
100190,100192,1.5182,1800,2,96,75.7,0.75,4,13,5,1,0,3.28,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100191,100187,0.7079,1800,2,96,75.7,0.75,4,0,0,1,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100191,100311,0.0472,1659,1,98,70.1,0.75,4,0,0,0,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100192,20808,0.0978,1650,1,96,75.7,0.75,4,0,0,1,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100192,100200,0.1311,1800,2,96,75.7,0.75,4,0,0,1,0,0,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100193,100191,1.5293,1800,2,96,75.7,0.75,4,13,5,1,0,3.28,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100200,100201,0.0101,1800,2,95,33.9,0.75,4,0,0,2,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100201,100308,0.0738,1800,2,96,75.7,0.75,4,0,0,1,0,0,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100202,20824,0.0748,1650,1,96,75.7,0.75,4,0,0,1,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100202,100193,0.1987,1800,2,96,75.7,0.75,4,0,0,1,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100203,100202,0.0101,1800,2,95,33.9,0.75,4,0,0,2,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100214,100216,0.328,1800,2,96,75.7,0.75,4,0,0,1,0,0,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100214,100307,0.0375,1650,1,98,70.1,0.75,4,0,0,0,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100215,100203,1.542,1800,2,96,75.7,0.75,4,0,0,1,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100216,100220,0.9511,1800,2,96,75.7,0.75,4,0,0,1,0,0,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100217,100215,0.3297,1800,2,96,75.7,0.75,4,0,0,1,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100217,100304,0.0283,1650,1,98,75.7,0.75,4,0,0,0,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100220,100222,1.0254,1800,2,96,75.7,0.75,4,12,5,1,0,4.69,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100221,100217,0.9493,1800,2,96,75.7,0.75,4,0,0,1,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100222,100224,0.0109,1800,2,96,73.6,0.75,4,0,0,1,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100223,100221,1.0264,1800,2,96,75.7,0.75,4,12,5,1,0,4.69,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100224,100241,2.7002,1800,2,96,75.7,0.75,4,0,0,1,0,0,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100240,100223,2.2177,1800,2,96,75.7,0.75,4,0,0,1,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100241,21317,0.0216,1650,1,98,70.1,0.75,4,0,0,0,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100241,100245,0.4485,1800,2,96,75.7,0.75,4,0,0,1,0,0,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100242,100281,0.4875,1800,2,96,75.7,0.75,4,0,0,1,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
