N,X,Y,DTA_Type,SEGNUM,Prohibit_Links,Time_Coef,Cost_Coef
151,921421.388000,527148.524300,99,    0,                                                  ,0,0
152,921001.435200,522866.137700,99,    0,                                                  ,0,0
153,921114.979600,519834.322900,99,    0,                                                  ,0,0
154,932274.890400,532146.055200,99,    0,                                                  ,0,0
155,929632.407300,519666.215800,99,    0,                                                  ,0,0
156,933386.799800,500782.182000,99,    0,                                                  ,0,0
157,850569.843300,522287.605400,99,    0,                                                  ,0,0
158,841889.977100,560182.194500,99,    0,                                                  ,0,0
159,880635.992500,550055.468700,99,    0,                                                  ,0,0
160,887439.758400,540736.582300,99,    0,                                                  ,0,0
161,892422.605100,532340.084000,99,    0,                                                  ,0,0
162,867729.019100,546325.506200,99,    0,                                                  ,0,0
163,871777.870500,551086.921000,99,    0,                                                  ,0,0
164,868940.121600,532370.975900,99,    0,                                                  ,0,0
165,915740.520200,525497.313800,99,    0,                                                  ,0,0
166,910185.321800,524666.221100,99,    0,                                                  ,0,0
167,902443.037300,524709.962800,99,    0,                                                  ,0,0
168,892032.446900,524205.108200,99,    0,                                                  ,0,0
169,885013.778000,523654.598300,99,    0,                                                  ,0,0
170,868650.369600,522925.059900,99,    0,                                                  ,0,0
171,822869.549700,503975.277500,99,    0,                                                  ,0,0
172,844832.753200,505829.690500,99,    0,                                                  ,0,0
173,878079.555400,499213.182100,99,    0,                                                  ,0,0
174,868186.766300,502468.567000,99,    0,                                                  ,0,0
175,869983.228900,514638.152000,99,    0,                                                  ,0,0
176,874807.066700,494265.095000,99,    0,                                                  ,0,0
177,889197.973200,516381.846300,99,    0,                                                  ,0,0
178,912429.444800,517817.037400,99,    0,                                                  ,0,0
179,902679.231500,515295.430500,99,    0,                                                  ,0,0
180,900437.803200,509075.466900,99,    0,                                                  ,0,0
181,888502.197200,504816.753000,99,    0,                                                  ,0,0
182,905368.945500,506217.645700,99,    0,                                                  ,0,0
183,883359.892600,493774.062800,99,    0,                                                  ,0,0
184,887895.718100,481046.122900,99,    0,                                                  ,0,0
185,870752.108900,482355.971700,99,    0,                                                  ,0,0
186,861559.443700,489235.494700,99,    0,                                                  ,0,0
187,866626.574100,465789.097600,99,    0,                                                  ,0,0
188,840820.492700,469583.406100,99,    0,                                                  ,0,0
189,852965.543200,488210.534100,99,    0,                                                  ,0,0
190,853377.349900,477193.626400,99,    0,                                                  ,0,0
191,817927.471900,453272.144700,99,    0,                                                  ,0,0
192,841567.320500,437880.976200,99,    0,                                                  ,0,0
193,861962.367400,445844.555900,99,    0,                                                  ,0,0
194,865692.920000,457438.080300,99,    0,                                                  ,0,0
195,875081.330800,455103.945000,99,    0,                                                  ,0,0
196,849318.417900,411438.686100,99,    0,                                                  ,0,0
197,863256.959000,427854.199700,99,    0,                                                  ,0,0
198,845907.006100,428790.052300,99,    0,                                                  ,0,0
199,837048.723100,418896.111000,99,    0,                                                  ,0,0
200,834034.111700,413143.602300,99,    0,                                                  ,0,0
201,854604.506500,436245.190800,99,    0,                                                  ,0,0
202,842657.726500,421190.703300,99,    0,                                                  ,0,0
203,864145.107600,451470.545400,99,    0,                                                  ,0,0
