N,X,Y,DTA_Type,SEGNUM,Prohibit_Links,Time_Coef,Cost_Coef,VCOST
162,867729.0191,546325.5062,99,0,0,-0.117,-0.584,10
163,871777.8705,551086.921,99,0,0,-0.117,-0.584,10
164,868940.1216,532370.9759,99,0,0,-0.117,-0.584,10
165,915740.5202,525497.3138,99,0,0,-0.117,-0.584,10
166,910185.3218,524666.2211,99,0,0,-0.117,-0.584,10
167,902443.0373,524709.9628,99,0,0,-0.117,-0.584,10
168,892032.4469,524205.1082,99,0,0,-0.117,-0.584,10
169,885013.778,523654.5983,99,0,0,-0.117,-0.584,10
170,868650.3696,522925.0599,99,0,0,-0.117,-0.584,10
171,822869.5497,503975.2775,99,0,0,-0.117,-0.584,10
172,844832.7532,505829.6905,99,0,0,-0.117,-0.584,10
173,878079.5554,499213.1821,99,0,0,-0.117,-0.584,10
174,868186.7663,502468.567,99,0,0,-0.117,-0.584,10
175,869983.2289,514638.152,99,0,0,-0.117,-0.584,10
176,874807.0667,494265.095,99,0,0,-0.117,-0.584,10
177,889197.9732,516381.8463,99,0,0,-0.117,-0.584,10
178,912429.4448,517817.0374,99,0,0,-0.117,-0.584,10
179,902679.2315,515295.4305,99,0,0,-0.117,-0.584,10
180,900437.8032,509075.4669,99,0,0,-0.117,-0.584,10
181,888502.1972,504816.753,99,0,0,-0.117,-0.584,10
182,905368.9455,506217.6457,99,0,0,-0.117,-0.584,10
183,883359.8926,493774.0628,99,0,0,-0.117,-0.584,10
184,887895.7181,481046.1229,99,0,0,-0.117,-0.584,10
185,870752.1089,482355.9717,99,0,0,-0.117,-0.584,10
186,861559.4437,489235.4947,99,0,0,-0.117,-0.584,10
187,866626.5741,465789.0976,99,0,0,-0.117,-0.584,10
188,840820.4927,469583.4061,99,0,0,-0.117,-0.584,10
189,852965.5432,488210.5341,99,0,0,-0.117,-0.584,10
190,853377.3499,477193.6264,99,0,0,-0.117,-0.584,10
191,817927.4719,453272.1447,99,0,0,-0.117,-0.584,10
192,841567.3205,437880.9762,99,0,0,-0.117,-0.584,10
193,861962.3674,445844.5559,99,0,0,-0.117,-0.584,10
194,865692.92,457438.0803,99,0,0,-0.117,-0.584,10
195,875081.3308,455103.945,99,0,0,-0.117,-0.584,10
196,849318.4179,411438.6861,99,0,0,-0.117,-0.584,10
197,863256.959,427854.1997,99,0,0,-0.117,-0.584,10
198,845907.0061,428790.0523,99,0,0,-0.117,-0.584,10
199,837048.7231,418896.111,99,0,0,-0.117,-0.584,10
200,834034.1117,413143.6023,99,0,0,-0.117,-0.584,10
201,854604.5065,436245.1908,99,0,0,-0.117,-0.584,10
202,842657.7265,421190.7033,99,0,0,-0.117,-0.584,10
203,864145.1076,451470.5454,99,0,0,-0.117,-0.584,10
204,844066.2473,400718.4802,99,0,0,-0.117,-0.584,10
205,820412.4964,399245.8731,99,0,0,-0.117,-0.584,10
206,821608.9896,427409.4832,99,0,0,-0.117,-0.584,10
207,821056.7619,411302.8435,99,0,0,-0.117,-0.584,10
208,947853.9194,636610.4611,99,0,0,-0.117,-0.584,10
209,934407.2632,647937.8182,99,0,0,-0.117,-0.584,10
210,923153.637,645834.6469,99,0,0,-0.117,-0.584,10
211,882634.3131,543082.2626,99,0,0,-0.117,-0.584,10
212,884046.7933,532634.5929,99,0,0,-0.117,-0.584,10
213,862151.7173,561951.367,99,0,0,-0.117,-0.584,10
214,871307.0363,557555.7731,99,0,0,-0.117,-0.584,10
215,955052.7161,963248.8563,99,0,0,-0.117,-0.584,10
216,888806.1836,734325.6966,99,0,0,-0.117,-0.584,10
217,953551.9463,966500.5243,99,0,0,-0.117,-0.584,10
218,927408.0161,966053.5816,99,0,0,-0.117,-0.584,10
219,922955.156,965271.7817,99,0,0,-0.117,-0.584,10
220,908814.7759,966937.3553,99,0,0,-0.117,-0.584,10
221,887536.2231,966903.364,99,0,0,-0.117,-0.584,10
222,856026.2896,965101.8252,99,0,0,-0.117,-0.584,10
223,783331.4115,965221.4728,99,0,0,-0.117,-0.584,10
224,685987.4097,879800.4025,99,0,0,-0.117,-0.584,10
225,824851.4752,662882.7581,99,0,0,-0.117,-0.584,10
226,806418.9091,657310.1219,99,0,0,-0.117,-0.584,10
227,815559.0614,518934.3618,99,0,0,-0.117,-0.584,10
228,832710.1792,380477.8037,99,0,0,-0.117,-0.584,10
229,841220.2984,381981.9178,99,0,0,-0.117,-0.584,10
12004,926586.5,946594.3125,0,0,0,-0.117,-0.584,0
12036,933098.125,946553.4375,0,0,0,-0.117,-0.584,0
12038,933329.5625,946304.1875,0,0,0,-0.117,-0.584,0
12056,932831.125,946326.9375,0,0,0,-0.117,-0.584,0
12058,933067.125,946007,0,0,0,-0.117,-0.584,0
12069,930528.375,949386.6875,0,0,0,-0.117,-0.584,0
12073,930571.3125,949409.9375,0,0,0,-0.117,-0.584,0
12082,948965.9375,912137.125,0,0,0,-0.117,-0.584,0
12084,949173.5,912085.625,0,0,0,-0.117,-0.584,0
12085,940120.4375,924520,0,0,0,-0.117,-0.584,0
12089,940158.0276,924532.6555,0,0,0,-0.117,-0.584,0
12093,939743.6875,908086.4375,0,0,0,-0.117,-0.584,0
12097,939744.375,907901.1875,0,0,0,-0.117,-0.584,0
12101,939778.625,907903.8125,0,0,0,-0.117,-0.584,0
12105,939783.5,908082,0,0,0,-0.117,-0.584,0
12112,959340.625,863365.4375,0,0,0,-0.117,-0.584,0
12116,958362.125,863757.75,0,0,0,-0.117,-0.584,0
12118,958362.125,862488.375,0,0,0,-0.117,-0.584,0
12123,860103,954346,0,0,0,-0.117,-0.584,0
12141,930587.3867,856909.4948,0,0,0,-0.117,-0.584,0
12145,930614.506,856877.4448,0,0,0,-0.117,-0.584,0
12147,888145,955201,0,0,0,-0.117,-0.584,0
12148,957953.625,864018,0,0,0,-0.117,-0.584,0
12154,958153.25,863163.125,0,0,0,-0.117,-0.584,0
12164,958342.375,862970.6875,0,0,0,-0.117,-0.584,0
12171,909150.8125,954371.4375,0,0,0,-0.117,-0.584,0
12174,952987.3539,750420.0205,0,0,0,-0.117,-0.584,0
12176,953252.9026,750848.3874,0,0,0,-0.117,-0.584,0
12177,872090,855013,0,0,0,-0.117,-0.584,0
12182,953423.25,750112.3125,0,0,0,-0.117,-0.584,0
12190,953489.9375,750498.0625,0,0,0,-0.117,-0.584,0
12194,953745.6875,750351.375,0,0,0,-0.117,-0.584,0
12197,927170.3573,761545.7748,0,0,0,-0.117,-0.584,0
12200,944892.25,740353.625,0,0,0,-0.117,-0.584,0
12201,927231.992,761550.7056,0,0,0,-0.117,-0.584,0
12212,944925.625,740016.625,0,0,0,-0.117,-0.584,0
12216,944798.375,740663.5625,0,0,0,-0.117,-0.584,0
12221,927675,737850,0,0,0,-0.117,-0.584,0
12225,927725,736145,0,0,0,-0.117,-0.584,0
12228,944806.125,740909.125,0,0,0,-0.117,-0.584,0
12229,927767,737881,0,0,0,-0.117,-0.584,0
12230,945669.875,740369.875,0,0,0,-0.117,-0.584,0
12232,959913.625,853655.1875,0,0,0,-0.117,-0.584,0
12233,927786,736154,0,0,0,-0.117,-0.584,0
12234,960029.9375,853673.125,0,0,0,-0.117,-0.584,0
12236,960029.9375,856544.4375,0,0,0,-0.117,-0.584,0
12238,959743.6875,855417.375,0,0,0,-0.117,-0.584,0
12239,867353,949023,0,0,0,-0.117,-0.584,0
12240,960975,858046.4375,0,0,0,-0.117,-0.584,0
12242,957459.125,855989.25,0,0,0,-0.117,-0.584,0
12243,888214,949049,0,0,0,-0.117,-0.584,0
12244,959681.3125,856821.1875,0,0,0,-0.117,-0.584,0
12246,960269.5,855028.4375,0,0,0,-0.117,-0.584,0
12248,961031.8125,856883.875,0,0,0,-0.117,-0.584,0
12250,960947.75,857478.0625,0,0,0,-0.117,-0.584,0
12251,904158,949009,0,0,0,-0.117,-0.584,0
12254,960340.5,857232.3125,0,0,0,-0.117,-0.584,0
12302,909121.3125,949029.1875,0,0,0,-0.117,-0.584,0
12311,930521.2283,947378.7023,0,0,0,-0.117,-0.584,0
12323,930539.6566,947332.6314,0,0,0,-0.117,-0.584,0
12330,959623.375,804108.5,0,0,0,-0.117,-0.584,0
12332,959504.8125,804118.0625,0,0,0,-0.117,-0.584,0
12335,930490.5144,947261.9894,0,0,0,-0.117,-0.584,0
12339,930521.2283,947212.8471,0,0,0,-0.117,-0.584,0
12343,930523.9375,947055.5625,0,0,0,-0.117,-0.584,0
12347,930481.0625,947063.8125,0,0,0,-0.117,-0.584,0
12372,954102.9375,772840.0625,0,0,0,-0.117,-0.584,0
12374,953985,772864.625,0,0,0,-0.117,-0.584,0
12376,959316.9375,792223.9375,0,0,0,-0.117,-0.584,0
12378,959251.4375,792286.1875,0,0,0,-0.117,-0.584,0
12380,959503.5,795749.625,0,0,0,-0.117,-0.584,0
12382,959372.1875,795747.5,0,0,0,-0.117,-0.584,0
12383,934595.9375,946247.5625,0,0,0,-0.117,-0.584,0
12384,959391.9375,797334.3125,0,0,0,-0.117,-0.584,0
12386,959277,797322,0,0,0,-0.117,-0.584,0
12389,952965,759680,0,0,0,-0.117,-0.584,0
12390,957013.25,852692,0,0,0,-0.117,-0.584,0
12391,931936,946377,0,0,0,-0.117,-0.584,0
12407,930515,946428,0,0,0,-0.117,-0.584,0
12411,939679,946363,0,0,0,-0.117,-0.584,0
12421,916976,739665,0,0,0,-0.117,-0.584,0
12427,941265,946241,0,0,0,-0.117,-0.584,0
12433,926492,740272,0,0,0,-0.117,-0.584,0
12445,928235,740530,0,0,0,-0.117,-0.584,0
12449,926838,771666,0,0,0,-0.117,-0.584,0
12453,925986,798502,0,0,0,-0.117,-0.584,0
