A,B,DISTANCE,CAPACITY,NUM_LANES,FTYPE,FFSPEED,ALPHA,BETA
99,25301,1.2845,10000,1,51,12.5,0.75,4
100,25427,1.1544,10000,1,51,12.5,0.75,4
100,25437,2.4009,10000,1,51,12.5,0.75,4
100,25541,1.0577,10000,1,51,12.5,0.75,4
101,20167,0.6616,10000,1,51,12.5,0.75,4
101,20196,0.4529,10000,1,51,12.5,0.75,4
101,25277,0.7089,10000,1,51,12.5,0.75,4
102,25519,0.6349,10000,1,51,12.5,0.75,4
102,25575,1.0544,10000,1,51,12.5,0.75,4
102,25591,0.7957,10000,1,51,12.5,0.75,4
103,24215,0.6688,10000,1,51,12.5,0.75,4
103,24503,2.0343,10000,1,51,12.5,0.75,4
103,24533,0.8302,10000,1,51,12.5,0.75,4
103,25573,1.9503,10000,1,51,12.5,0.75,4
104,24163,0.7549,10000,1,51,12.5,0.75,4
104,24463,0.819,10000,1,51,12.5,0.75,4
104,24503,1.1573,10000,1,51,12.5,0.75,4
105,25591,0.9316,10000,1,51,12.5,0.75,4
105,25633,1.0568,10000,1,51,12.5,0.75,4
105,25691,1.067,10000,1,51,12.5,0.75,4
106,24533,0.4962,10000,1,51,12.5,0.75,4
106,24893,1.9675,10000,1,51,12.5,0.75,4
106,24921,0.5167,10000,1,51,12.5,0.75,4
106,25629,2.0259,10000,1,51,12.5,0.75,4
107,24887,1.7653,10000,1,51,12.5,0.75,4
107,24921,0.4832,10000,1,51,12.5,0.75,4
107,24925,0.5374,10000,1,51,12.5,0.75,4
107,25683,1.7243,10000,1,51,12.5,0.75,4
108,25691,0.3787,10000,1,51,12.5,0.75,4
109,21114,1.5073,10000,1,51,12.5,0.75,4
109,24884,1.4972,10000,1,51,12.5,0.75,4
109,24925,0.3673,10000,1,51,12.5,0.75,4
110,24877,0.4484,10000,1,51,12.5,0.75,4
110,24881,0.5088,10000,1,51,12.5,0.75,4
110,24887,0.7114,10000,1,51,12.5,0.75,4
111,24877,0.301,10000,1,51,12.5,0.75,4
111,24884,0.5385,10000,1,51,12.5,0.75,4
112,21603,1.7852,10000,1,51,12.5,0.75,4
112,21981,1.3992,10000,1,51,12.5,0.75,4
112,22041,0.4852,10000,1,51,12.5,0.75,4
112,22057,1.3315,10000,1,51,12.5,0.75,4
113,16759,0.5571,10000,1,51,12.5,0.75,4
113,21404,2.3332,10000,1,51,12.5,0.75,4
114,25609,1.9229,10000,1,51,12.5,0.75,4
114,25657,2.8041,10000,1,51,15,0.75,4
114,25709,0.8844,10000,1,51,12.5,0.75,4
115,29086,1.9651,10000,1,51,12.5,0.75,4
115,29193,1.7506,10000,1,51,15,0.75,4
116,29095,1.4313,10000,1,51,12.5,0.75,4
116,29458,1.8272,10000,1,51,12.5,0.75,4
117,29101,0.3037,10000,1,51,12.5,0.75,4
117,29796,1.8959,10000,1,51,12.5,0.75,4
118,29245,1.8009,10000,1,51,12.5,0.75,4
118,29796,1.5125,10000,1,51,12.5,0.75,4
118,33690,1.521,10000,1,51,12.5,0.75,4
119,29339,1.0494,10000,1,51,12.5,0.75,4
119,29892,0.66,10000,1,51,12.5,0.75,4
119,29947,0.7976,10000,1,51,12.5,0.75,4
119,29957,0.8723,10000,1,51,12.5,0.75,4
120,24683,1.1434,10000,1,51,12.5,0.75,4
120,34622,0.4395,10000,1,51,12.5,0.75,4
121,28732,2.2198,10000,1,51,12.5,0.75,4
121,29172,0.1933,10000,1,51,12.5,0.75,4
121,29306,1.1939,10000,1,51,12.5,0.75,4
121,29947,1.4473,10000,1,51,12.5,0.75,4
122,24847,1.3267,10000,1,51,12.5,0.75,4
122,25001,0.731,10000,1,51,12.5,0.75,4
122,29051,0.8126,10000,1,51,12.5,0.75,4
122,29801,0.4369,10000,1,51,12.5,0.75,4
123,29043,0.3079,10000,1,51,12.5,0.75,4
123,29144,1.2094,10000,1,51,12.5,0.75,4
123,33690,0.5377,10000,1,51,12.5,0.75,4
124,29368,1.8707,10000,1,51,12.5,0.75,4
124,29376,0.3244,10000,1,51,12.5,0.75,4
124,34722,0.2656,10000,1,51,15,0.75,4
124,36261,1.1662,10000,1,51,12.5,0.75,4
125,29358,0.2232,10000,1,51,12.5,0.75,4
125,29359,0.3252,10000,1,51,12.5,0.75,4
126,28620,1.2011,10000,1,51,12.5,0.75,4
126,29336,2.9722,10000,1,51,12.5,0.75,4
126,29690,1.3459,10000,1,51,12.5,0.75,4
126,30049,3.1937,10000,1,51,12.5,0.75,4
127,29306,1.5427,10000,1,51,12.5,0.75,4
127,29546,0.3762,10000,1,51,12.5,0.75,4
127,29555,0.6741,10000,1,51,12.5,0.75,4
127,29680,0.9051,10000,1,51,12.5,0.75,4
128,29778,0.3573,10000,1,51,12.5,0.75,4
128,29872,0.379,10000,1,51,12.5,0.75,4
128,29880,0.4539,10000,1,51,12.5,0.75,4
128,30033,1.066,10000,1,51,12.5,0.75,4
129,29403,0.8013,10000,1,51,12.5,0.75,4
129,29526,0.4936,10000,1,51,12.5,0.75,4
129,36253,0.6959,10000,1,51,12.5,0.75,4
130,29513,0.9941,10000,1,51,12.5,0.75,4
130,29638,0.7308,10000,1,51,12.5,0.75,4
130,29649,1.1792,10000,1,51,12.5,0.75,4
131,29383,0.7977,10000,1,51,12.5,0.75,4
131,29391,0.3948,10000,1,51,12.5,0.75,4
131,29398,0.2817,10000,1,51,12.5,0.75,4
132,29629,1.046,10000,1,51,12.5,0.75,4
132,29638,0.4376,10000,1,51,12.5,0.75,4
132,29760,0.5526,10000,1,51,12.5,0.75,4
133,29629,0.6324,10000,1,51,12.5,0.75,4
133,29748,0.5589,10000,1,51,12.5,0.75,4
133,33985,0.7058,10000,1,51,12.5,0.75,4
133,36262,0.8553,10000,1,51,12.5,0.75,4
134,29605,0.7038,10000,1,51,12.5,0.75,4
134,29736,0.9604,10000,1,51,12.5,0.75,4
134,36262,0.8948,10000,1,51,12.5,0.75,4
135,29598,0.1707,10000,1,51,12.5,0.75,4
135,29605,0.9807,10000,1,51,12.5,0.75,4
135,29721,1.0357,10000,1,51,12.5,0.75,4
136,29137,1.6826,10000,1,51,15,0.75,4
136,34094,0.9417,10000,1,51,15,0.75,4
136,34897,0.081,10000,1,51,12.5,0.75,4
137,29574,0.3295,10000,1,51,15,0.75,4
137,30759,1.6577,10000,1,51,12.5,0.75,4
137,32551,0.1848,10000,1,51,12.5,0.75,4
138,29721,0.7314,10000,1,51,12.5,0.75,4
138,29819,0.956,10000,1,51,12.5,0.75,4
138,29928,1.1275,10000,1,51,12.5,0.75,4
138,33742,0.8375,10000,1,51,12.5,0.75,4
139,29928,0.3308,10000,1,51,12.5,0.75,4
139,29930,0.2658,10000,1,51,12.5,0.75,4
139,29939,0.2844,10000,1,51,12.5,0.75,4
140,29736,1.5137,10000,1,51,12.5,0.75,4
140,29935,0.7446,10000,1,51,12.5,0.75,4
140,29948,0.2402,10000,1,51,12.5,0.75,4
140,30820,1.5371,10000,1,51,12.5,0.75,4
141,31078,0.2136,10000,1,51,12.5,0.75,4
141,34894,0.8177,10000,1,51,12.5,0.75,4
142,28574,2.0156,10000,1,51,12.5,0.75,4
142,28590,1.3049,10000,1,51,12.5,0.75,4
142,31226,1.7933,10000,1,51,12.5,0.75,4
143,29760,1.1521,10000,1,51,12.5,0.75,4
143,29978,0.8713,10000,1,51,12.5,0.75,4
143,29993,0.4031,10000,1,51,12.5,0.75,4
143,30128,1.1587,10000,1,51,12.5,0.75,4
144,31036,0.6556,10000,1,51,12.5,0.75,4
144,31171,0.2693,10000,1,51,12.5,0.75,4
144,31181,0.3736,10000,1,51,12.5,0.75,4
145,31051,0.6063,10000,1,51,12.5,0.75,4
145,31181,0.2516,10000,1,51,12.5,0.75,4
145,31192,0.2753,10000,1,51,12.5,0.75,4
146,29748,1.6343,10000,1,51,12.5,0.75,4
146,29978,0.8851,10000,1,51,12.5,0.75,4
146,34764,1.0706,10000,1,51,12.5,0.75,4
147,31279,0.3689,10000,1,51,12.5,0.75,4
147,31288,0.2252,10000,1,51,12.5,0.75,4
148,31335,0.3359,10000,1,51,12.5,0.75,4
148,31463,0.9906,10000,1,51,12.5,0.75,4
149,31175,1.0365,10000,1,51,12.5,0.75,4
149,31298,0.671,10000,1,51,12.5,0.75,4
149,31316,0.4616,10000,1,51,12.5,0.75,4
150,31371,0.3648,10000,1,51,10,0.75,4
