N,DTA_Type
20844,0
20845,0
20846,0
20848,0
20849,0
20850,0
20851,0
20852,0
20853,0
20854,0
20856,0
20857,0
20858,0
20860,0
20861,0
20862,0
20863,0
20866,0
20867,0
20868,0
20869,0
20870,0
20872,0
20873,0
20874,0
20877,0
20879,0
20880,0
20883,0
20885,0
20887,0
20889,0
20890,0
20891,91
20894,0
20895,0
20896,0
21004,0
21006,0
21008,0
21010,0
21012,0
21014,0
21018,0
21020,0
21022,0
21024,0
21028,0
21030,0
21034,0
21036,0
21038,0
21039,0
21040,0
21041,0
21042,0
21043,0
21044,0
21045,0
21046,0
21047,0
21048,0
21049,0
21050,0
21051,0
21052,0
21053,0
21054,0
21055,0
21056,0
21058,0
21062,0
21064,0
21066,0
21070,0
21071,0
21072,0
21073,0
21074,0
21075,0
21077,0
21079,0
21081,0
21083,0
21087,0
21089,0
21090,0
21092,0
21094,0
21096,0
21098,0
21100,0
21101,0
21103,0
21104,0
21105,0
21106,0
21107,0
21108,0
21112,0
21113,0
21114,0
21117,0
21120,0
21122,0
21124,0
21127,0
21128,0
21129,0
21132,0
21134,0
21135,0
21136,0
21137,0
21138,0
21139,0
21140,0
21141,0
21143,0
21144,0
21145,0
21151,0
21154,0
21165,0
21167,0
21169,0
21171,0
21172,0
21173,0
21174,0
21175,0
21177,0
21178,0
21179,0
21180,0
21183,0
21184,0
21185,0
21186,0
21188,0
21190,0
21195,0
21196,0
21199,0
21202,0
21203,0
21204,0
21205,0
21207,0
21208,0
21210,0
21211,0
21212,0
21213,0
21214,0
21215,0
21216,0
21217,0
21218,0
21219,0
21220,0
21221,0
21223,0
21224,0
21225,0
21226,0
21232,0
21233,90
21234,0
21235,0
21236,0
21237,0
21238,0
21239,0
21244,0
21246,0
21248,0
21250,0
21251,0
21252,0
21253,0
21254,0
21255,0
21256,0
21258,0
21260,0
21261,0
21262,0
21263,0
21264,0
21265,0
21266,0
21267,0
21268,0
21269,0
21270,0
21271,0
21272,0
21273,0
21274,0
21275,0
21276,0
21277,0
21278,0
21279,0
21280,0
21281,0
21282,0
21283,0
21284,0
21285,0
21286,0
21287,0
21288,0
21289,0
21291,0
21292,0
21293,0
21294,0
21296,0
21298,0
21300,0
21301,0
21302,0
21303,0
21304,0
21305,0
21306,0
21307,0
21309,0
21312,0
21313,0
21314,0
21315,0
21317,91
21320,90
21321,0
21326,0
21327,0
21328,0
21329,0
21330,0
21331,0
21333,90
21334,0
21338,91
21342,0
21344,0
21346,0
21349,0
21352,0
21354,0
21363,0
21364,0
21365,0
21366,0
21367,0
21368,0
21377,0
21378,0
21387,0
21389,0
21391,0
21393,0
21395,0
21396,0
21397,0
21399,0
21401,0
21403,0
21404,0
21405,0
21406,0
21410,0
21411,92
21414,0
21418,0
21421,0
21422,0
21430,0
21432,92
21433,0
21434,0
21435,0
21438,0
21439,0
21441,0
21448,0
21450,0
21451,0
21453,0
21455,0
21457,0
21459,0
21462,90
21463,90
21464,0
21466,0
21468,90
21469,91
21470,0
21472,0
21473,0
21475,0
21476,0
21477,0
21479,0
21486,0
21491,91
21492,90
21493,0
21495,0
21497,0
21498,0
21501,0
21508,0
21514,0
21516,0
21532,0
21540,92
21542,0
21544,0
21546,0
21552,0
21554,0
21555,0
21557,0
21559,0
21560,0
21561,0
21562,0
21563,0
21564,0
21565,0
21566,0
21567,0
21568,0
21569,0
21570,0
21571,0
21573,0
21575,0
21577,0
21578,0
21580,92
21582,0
21585,0
21587,0
21588,0
21589,0
21594,0
21596,0
21601,0
21603,0
21605,0
21608,92
21610,0
21612,0
21617,0
21621,0
21624,0
21626,0
21627,0
21631,0
21632,0
21634,0
21636,0
21637,0
21639,0
21642,0
21643,0
21644,0
21645,0
21646,90
21648,0
21655,0
21656,0
21657,0
21662,0
21663,0
21664,92
21668,0
21670,0
21672,0
21674,0
21677,0
21679,0
21685,0
21686,0
21687,0
21689,0
21690,0
21691,0
21692,0
21693,0
21694,90
21695,0
21696,92
21697,0
21699,0
21700,0
21701,0
21703,0
21704,0
21705,0
21706,0
21707,0
21709,0
21710,0
21711,0
21714,92
21715,0
21717,0
21719,0
21721,0
21723,0
21724,0
21725,0
21727,0
21731,0
21735,0
21736,0
21738,0
21742,0
21748,0
21749,0
21750,0
21752,0
21753,0
21754,0
21755,0
21761,0
21764,0
21765,0
21766,0
21767,0
21768,0
21769,0
21771,0
21772,0
21773,0
21774,0
21775,0
21777,0
21778,0
21779,0
21780,92
21781,0
21782,0
21783,0
21789,0
21795,0
21798,90
21800,0
21803,0
21804,0
21809,0
21812,0
21822,0
21823,0
21833,0
21837,0
21839,0
21842,0
21844,0
21846,0
21850,0
21854,0
21855,0
21862,0
21863,0
21864,0
21865,0
21866,0
21867,0
21868,0
21869,0
21871,0
21873,0
21875,0
21876,0
21877,0
21878,0
21879,0
21883,0
21884,0
21895,0
21910,0
21911,0
21912,0
21914,0
21919,0
21921,0
21923,0
21925,0
21927,0
21929,0
21931,0
21933,0
21936,0
21938,0
21943,0
21944,0
21945,0
21946,0
21952,0
21956,0
21967,0
21969,0
21971,0
21973,0
21975,0
21977,0
21978,0
21979,0
21981,0
21983,0
21985,0
21989,0
21998,0
22000,0
22001,0
22004,0
22006,0
22008,0
22009,0
22012,0
22014,0
22016,0
22022,0
22023,0
22025,0
22028,0
22029,0
22030,0
22035,0
22041,0
22042,0
22050,0
22052,0
22057,0
22061,0
22069,0
22073,0
22077,0
22080,0
22085,0
22087,0
22089,0
22091,0
22093,0
22095,0
22107,0
22109,0
22116,0
22117,0
22119,0
22121,0
22123,0
22125,0
22126,0
22127,0
22129,0
22131,0
22133,0
22135,0
22136,0
22137,0
22139,0
22140,0
22141,0
22143,0
22145,0
22146,0
22148,0
22154,0
22157,0
22161,0
22162,0
22166,0
22168,0
22170,0
22172,0
22174,0
22177,0
22181,0
22187,0
22191,0
22193,0
22195,0
22197,0
22199,0
22201,0
22202,0
22203,0
22207,0
22209,0
22210,0
22211,0
22212,0
22213,0
22214,0
22215,0
22216,0
22218,0
22221,0
22222,0
22223,0
22224,0
22225,0
22228,0
22243,0
22247,0
22259,0
22262,0
22266,0
22268,0
22269,0
22270,0
22277,0
22278,0
22280,0
22282,0
22287,0
22289,0
22291,0
22295,0
22296,0
22297,0
22298,0
22299,0
22301,0
22303,0
22305,0
22307,0
22308,0
22309,0
22315,0
22316,0
22330,0
22332,0
22334,0
22346,0
22353,0
22355,0
22357,0
22379,0
22381,0
22383,0
22385,0
22387,0
22389,0
22391,0
22393,0
22395,0
22397,0
22399,0
22411,0
22427,0
22429,0
22443,0
22445,0
22457,0
22462,0
22463,0
22464,0
22465,0
22467,0
22469,0
22470,0
22471,0
22473,0
22476,0
22479,0
22481,0
22483,0
22486,0
22488,0
22491,0
22500,0
22505,0
22507,0
22509,0
22511,0
22518,0
22523,0
22529,0
22531,0
22533,0
22535,0
22537,0
22539,0
22541,0
22543,0
22545,0
22547,0
22548,0
22549,0
22556,0
22581,0
22585,0
22593,0
22595,0
22597,0
22599,0
22601,0
22602,0
22603,0
22604,0
22605,0
22609,0
22617,0
22621,0
22627,0
22631,0
22641,0
22643,0
22687,0
22689,0
22691,0
22693,0
22695,0
22696,0
22697,0
22699,0
22701,0
22709,0
22745,0
22747,0
22748,0
22749,0
22771,0
22773,0
22787,0
22789,0
22799,0
22803,0
22805,0
22807,0
22809,0
22811,0
22813,0
22814,0
22815,0
22817,0
22819,0
22821,0
22822,0
22823,0
22826,0
22829,0
22830,0
22831,0
22837,0
22841,0
22842,0
22843,0
22845,0
22857,0
22861,0
22863,0
22865,0
22867,0
22869,0
22871,0
22873,0
22877,0
22899,0
22901,0
22903,0
22904,0
22915,0
22935,0
22937,0
22939,0
22941,0
22943,0
22945,0
22947,0
22953,0
22955,0
22957,0
22959,0
22961,0
22963,0
22965,0
22967,0
22969,0
22971,0
22973,0
22979,0
22997,0
22999,0
23011,0
23015,0
23021,0
23024,0
23025,0
23030,0
23032,0
23077,0
23079,0
23081,0
23083,0
23085,0
23088,0
23089,0
23093,0
23094,0
23095,0
23096,0
23100,0
23101,0
23109,0
23110,0
23111,0
23113,0
23115,0
23120,0
23131,0
23139,0
23141,0
23144,0
23147,0
23157,0
23161,0
23168,0
23169,0
23173,0
23175,0
23179,0
23181,0
23187,0
23197,0
23201,0
23206,0
23209,0
23211,0
23212,0
23213,0
23215,0
23217,0
23219,0
23221,0
23224,0
23225,0
23226,0
23228,0
23229,0
23230,0
23231,0
23233,0
23238,0
23263,0
23265,0
23267,0
23269,0
23271,0
23273,0
23275,0
23277,0
23278,0
23283,0
23295,0
23299,0
23304,0
23309,0
23313,0
23314,0
23332,0
23347,0
23348,0
23350,0
23351,0
23353,0
23355,0
23369,0
23371,0
23373,0
23375,0
23377,0
23379,0
23381,0
23382,0
23383,0
23385,0
23388,0
23394,0
23395,0
23403,0
23407,0
23411,0
23414,0
23427,0
23435,0
23439,0
23449,0
23450,0
23461,0
23465,0
23473,0
23479,0
23483,0
23485,0
23487,0
23489,0
23491,0
23493,0
23497,0
23499,0
23503,0
23505,0
23507,0
23508,0
23509,0
23517,0
23521,0
23527,0
23534,0
23537,0
23539,0
23541,0
23543,0
23545,0
23547,0
23549,0
23551,0
23553,0
23555,0
23567,0
23569,0
23571,0
23573,0
23577,0
23579,0
23581,0
23583,0
23585,0
23587,0
23592,0
23595,0
23596,0
23597,0
23599,0
23600,0
23601,0
23602,0
23603,0
23605,0
23607,0
23608,0
23609,0
23610,0
23611,0
23613,0
23615,0
23618,0
23619,0
23621,0
23623,0
23624,0
23625,0
23627,0
23629,0
23631,0
23633,0
23636,0
23639,0
23641,0
23644,0
23648,0
23649,0
23658,0
23660,0
23665,0
23669,0
23674,0
23675,0
23685,0
23687,0
23689,0
23691,0
23693,0
23695,0
23697,0
23699,0
23701,0
23707,0
23713,0
23715,0
23717,0
23719,0
23721,0
23723,0
23725,0
23727,0
23729,0
23733,0
23735,0
23739,0
23745,0
23751,0
23752,0
23753,0
23755,0
23761,0
23762,0
23763,0
23765,0
23767,0
23771,0
23774,0
23775,0
23777,0
23781,0
23783,0
23785,0
23786,0
23787,0
23788,0
23789,0
23807,0
23809,0
23811,0
23813,0
23815,0
23817,0
23819,0
23847,0
23849,0
23851,0
23853,0
23855,0
23857,0
23859,0
23867,0
23873,0
23875,0
23877,0
23878,0
23879,0
23887,0
23893,0
23897,0
23899,0
23905,0
23913,0
23919,0
23939,0
23941,0
23943,0
23945,0
23947,0
23949,0
23971,0
23973,0
23977,0
23979,0
23983,0
23985,0
23987,0
23989,0
23991,0
23995,0
23997,0
23999,0
24001,0
24004,0
24005,0
24007,0
24011,0
24037,0
24039,0
24041,0
24043,0
24045,0
24047,0
24051,0
24053,0
24055,0
24060,0
24061,0
24063,0
24065,0
24067,0
24073,0
24075,0
24077,0
24079,0
24081,0
24083,0
24087,0
24089,0
24093,0
24095,0
24097,0
24099,0
24105,0
24107,0
24109,0
24111,0
24113,0
24117,0
24119,0
24121,0
24123,0
24129,0
24131,0
24133,0
24134,0
24135,0
24137,0
24139,0
24141,0
24142,0
24145,0
24157,0
24163,0
24171,0
24180,0
24191,0
24193,0
24195,0
24197,0
24199,0
24203,0
24209,0
24215,0
24222,0
24251,0
24253,0
24255,0
24257,0
24258,0
24261,0
24262,0
24264,0
24266,0
24267,0
24269,0
24271,0
24272,0
24274,0
24276,0
24279,0
24293,0
24305,0
24311,0
24323,0
24325,0
24331,0
24333,0
24335,0
24341,0
24377,0
24379,0
24381,0
24395,0
24403,0
24415,0
24417,0
24423,0
24425,0
24427,0
24429,0
24431,0
24433,0
24435,0
24437,0
24441,0
24453,0
24463,0
24470,0
24471,0
24483,0
24485,0
24497,0
24499,0
24501,0
24503,0
24505,0
24507,0
24509,0
24515,0
24527,0
24533,0
24541,0
24546,0
24547,0
24563,0
24565,0
24567,0
24579,0
24588,0
24589,0
24593,0
24607,0
24609,0
24611,0
24621,0
24623,0
24625,0
24627,0
24629,0
24631,0
24633,0
24635,0
24637,0
24641,0
24647,0
24659,0
24667,0
24671,0
24677,0
24683,0
24687,0
24691,0
24697,0
24705,0
24707,0
24709,0
24711,0
24715,0
24717,0
24719,0
24721,0
24723,0
24725,0
24727,0
24729,0
24730,0
24739,0
24745,0
24749,0
24756,0
24757,0
24763,0
24765,0
24766,0
24767,0
24771,0
24773,0
24777,0
24785,0
24795,0
24799,0
24803,0
24805,0
24808,0
24809,0
24811,0
24813,0
24815,0
24817,0
24818,0
24819,0
24823,0
24833,0
24841,0
24847,0
24851,0
24853,0
24855,0
24863,0
24865,0
24867,0
24869,0
24871,0
24876,0
24877,0
24878,0
24879,0
24881,0
24883,0
